Ret1M,ROE,ROA,ROIC,Ret1M,Ret3M,EBIT2EV,logVal,Ret
0.962616822,7.276905582,2.551721666,5.637041849,0.962616822,0.726375176,0.009671769,13.03934067,-0.056730769
0.98757764,3.997486571,0.95286462,6.408776998,0.98757764,1.097914653,0.499835785,15.6419373,-0.07005988
1.055858311,3.52153288,1.969158592,2.644792779,1.055858311,0.86270872,0.010739121,11.19506744,-0.154450262
1.046040516,1.006662366,0.416675732,1.165395018,1.046040516,0.943521595,0.012831023,12.90806647,-0.059964727
1.068013636,5.121081383,2.762070533,4.268613672,1.068013636,1.103806823,0.030938601,13.8584581,0.064577761
1.402970297,2.673839586,2.551895043,3.565469079,1.402970297,1.234320558,0.008235997,12.61288351,0.200757576
1.141071429,14.27874198,7.581832642,11.80207579,1.141071429,0.944334976,0.041461447,11.24764617,-0.034464475
2.391720966,7.349693412,6.20039324,8.54277355,2.391720966,2.746962494,0.024081051,12.55185104,-0.154659151
1.070746888,7.117008557,7.688699603,14.77998504,1.070746888,inf,0.001591906,12.9770509,-0.215223615
1.00729927,0.909340484,0.765223712,0.215647762,1.00729927,0.960556844,0.003243153,13.05975385,-0.035885167
1.075209444,7.017910667,3.030223342,6.893915325,1.075209444,2.3806914,0.015274757,15.0563335,0.033269231
0.945396825,3.324969012,2.714245296,4.628625497,0.945396825,0.898883187,0.019534763,11.34539636,-0.078504043
0.942538593,4.390469643,1.38649277,7.924423803,0.942538593,0.955652174,0.182329252,15.0166105,0.003514938
1.014869887,-1.228805293,-0.373564266,0.649336279,1.014869887,0.941379309,0.009673227,14.41598839,0.247272727
1.293470286,7.476324812,5.344374168,9.027865132,1.293470286,1.82272461,0.010039566,14.14933357,-0.110256929
1.037348273,3.411939458,0.823865725,2.445787615,1.037348273,1.078640777,0.04612359,14.93526258,-0.002640845
1.035058431,3.813897324,0.871906954,6.229563529,1.035058431,1.102222222,0.215254189,15.31544945,-0.087243402
0.977631579,6.929163718,2.093346537,11.75416498,0.977631579,0.901699029,0.059101676,13.45415754,0.037086093
1.142680667,12.01107507,0.911009817,15.66540129,1.142680667,2.344740177,0.004212494,13.62924021,0.08994709
1.071684588,8.286412168,6.338690228,19.10736875,1.071684588,0.792169562,0.024498747,11.58679757,-0.120825516
1.024070022,5.997758477,1.230768218,3.210841622,1.024070022,0.9,0.045604844,13.60515791,2.176348548
1.035014589,3.714684581,3.090911644,5.089377678,1.035014589,0.803820006,0.02670513,10.8931516,-0.035440999
1.139473684,3.529574291,1.550474431,4.22731057,1.139473684,1.192837466,0.039287435,12.21831648,-0.066350711
0.996884735,2.501851084,0.843029339,3.516270644,0.996884735,0.978593272,0.051528732,14.78808181,0.088721805
